name,t,x,y,z,vx,vy,vz,E,L
Uranus,2.52288e+08,2.3721e+12,1.61523e+12,0,-3837.56,5620.04,0,-1.97701e+35,3.14144e+43
Neptune,2.52288e+08,4.29082e+12,1.34885e+12,0,-1633.59,5180.11,0,-1.97701e+35,3.14144e+43
Sun,3.1536e+08,1.01085e+09,5.14466e+09,0,-7.71541,10.0615,0,-1.97701e+35,3.14144e+43
Mercury,3.1536e+08,4.37038e+10,-3.3467e+10,0,32468.4,34862.6,0,-1.97701e+35,3.14144e+43
Venus,3.1536e+08,-1.68424e+10,1.11715e+11,0,-34575.1,-5809.23,0,-1.97701e+35,3.14144e+43
Earth,3.1536e+08,1.50314e+11,-4.21747e+09,0,1852.91,29732.7,0,-1.97701e+35,3.14144e+43
Moon,3.1536e+08,1.50676e+11,-4.3401e+09,0,2188.73,30704.7,0,-1.97701e+35,3.14144e+43
Mars,3.1536e+08,-1.28293e+11,1.90951e+11,0,-19860.3,-13914.2,0,-1.97701e+35,3.14144e+43
Jupiter,3.1536e+08,4.26651e+11,-6.46355e+11,0,10935.6,7157.55,0,-1.97701e+35,3.14144e+43
Saturn,3.1536e+08,-7.59404e+11,1.22399e+12,0,-8169.74,-5027.26,0,-1.97701e+35,3.14144e+43
Uranus,3.1536e+08,2.1044e+12,1.95032e+12,0,-4635.7,4985.54,0,-1.97701e+35,3.14144e+43
Neptune,3.1536e+08,4.17541e+12,1.67135e+12,0,-2024.46,5041.09,0,-1.97701e+35,3.14144e+43
Sun,3.78432e+08,8.20963e+08,5.57261e+09,0,2.69843,5.39973,0,-1.97701e+35,3.14144e+43
Mercury,3.78432e+08,-5.21403e+10,2.20908e+10,0,-14412.4,-47270.7,0,-1.97701e+35,3.14144e+43
Venus,3.78432e+08,-1.04988e+11,-1.60274e+10,0,7013.38,-34361.4,0,-1.97701e+35,3.14144e+43
Earth,3.78432e+08,1.5e+11,-5.67045e+09,0,2249.21,29705.3,0,-1.97701e+35,3.14144e+43
