name,t,x,y,z,vx,vy,vz,E,L
Uranus,2.52288e+08,2.3721e+12,1.61523e+12,0,-3837.56,5620.05,0,-1.97701e+35,3.14144e+43
Neptune,2.52288e+08,4.29082e+12,1.34885e+12,0,-1633.59,5180.11,0,-1.97701e+35,3.14144e+43
Sun,3.1536e+08,1.01084e+09,5.14466e+09,0,-7.71534,10.0615,0,-1.97701e+35,3.14144e+43
Mercury,3.1536e+08,4.37147e+10,-3.34702e+10,0,32462.1,34856.9,0,-1.97701e+35,3.14144e+43
Venus,3.1536e+08,-1.68656e+10,1.117e+11,0,-34577.9,-5813.83,0,-1.97701e+35,3.14144e+43
Earth,3.1536e+08,1.50315e+11,-4.21756e+09,0,1852.91,29732.6,0,-1.97701e+35,3.14144e+43
Moon,3.1536e+08,1.50677e+11,-4.3406e+09,0,2189.59,30703.3,0,-1.97701e+35,3.14144e+43
Mars,3.1536e+08,-1.28309e+11,1.90932e+11,0,-19860.1,-13915.6,0,-1.97701e+35,3.14144e+43
Jupiter,3.1536e+08,4.26656e+11,-6.46356e+11,0,10935.6,7157.55,0,-1.97701e+35,3.14144e+43
Saturn,3.1536e+08,-7.5941e+11,1.22398e+12,0,-8169.73,-5027.3,0,-1.97701e+35,3.14144e+43
Uranus,3.1536e+08,2.1044e+12,1.95032e+12,0,-4635.7,4985.54,0,-1.97701e+35,3.14144e+43
Neptune,3.1536e+08,4.17541e+12,1.67135e+12,0,-2024.46,5041.09,0,-1.97701e+35,3.14144e+43
Sun,3.78432e+08,8.20965e+08,5.57261e+09,0,2.69841,5.39973,0,-1.97701e+35,3.14144e+43
Mercury,3.78432e+08,-5.21523e+10,2.20371e+10,0,-14392.2,-47280.9,0,-1.97701e+35,3.14144e+43
Venus,3.78432e+08,-1.04982e+11,-1.60703e+10,0,7020.06,-34359.3,0,-1.97701e+35,3.14144e+43
Earth,3.78432e+08,1.50001e+11,-5.67057e+09,0,2249.19,29705.2,0,-1.97701e+35,3.14144e+43
Moon,3.78432e+08,1.50244e+11,-5.37636e+09,0,1480.07,30378.7,0,-1.97701e+35,3.14144e+43
Mars,3.78432e+08,-1.95066e+11,1.18437e+11,0,-12071.1,-21060,0,-1.97701e+35,3.14144e+43
Jupiter,3.78432e+08,7.77627e+11,5.76023e+10,0,-862.897,13041.6,0,-1.97701e+35,3.14144e+43
Saturn,3.78432e+08,-1.19295e+12,8.09432e+11,0,-5376.05,-7919.77,0,-1.97701e+35,3.14144e+43
Uranus,3.78432e+08,1.7895e+12,2.24175e+12,0,-5331.05,4238.15,0,-1.97701e+35,3.14144e+43
Neptune,3.78432e+08,4.03569e+12,1.98414e+12,0,-2403.82,4872.66,0,-1.97701e+35,3.14144e+43
Sun,4.41504e+08,1.32893e+09,6.09372e+09,0,12.0127,12.8094,0,-1.97701e+35,3.14144e+43
Mercury,4.41504e+08,5.82877e+10,1.63365e+10,0,-8556.79,46610.4,0,-1.97701e+35,3.14144e+43
Venus,4.41504e+08,2.6648e+10,-9.90031e+10,0,34082.7,8188.82,0,-1.97701e+35,3.14144e+43
Earth,4.41504e+08,1.50358e+11,-7.01225e+09,0,2631.71,29696.8,0,-1.97701e+35,3.14144e+43
Moon,4.41504e+08,1.5018e+11,-6.67301e+09,0,1727.13,29228.7,0,-1.97701e+35,3.14144e+43
Mars,4.41504e+08,-2.2388e+11,2.4549e+10,0,-1962.29,-24198.3,0,-1.97701e+35,3.14144e+43
Jupiter,4.41504e+08,3.37439e+11,7.08818e+11,0,-11765.3,5650.89,0,-1.97701e+35,3.14144e+43
Saturn,4.41504e+08,-1.418e+12,2.54443e+11,0,-1656.66,-9417.38,0,-1.97701e+35,3.14144e+43
Uranus,4.41504e+08,1.43441e+12,2.4829e+12,0,-5907.98,3393.8,0,-1.97701e+35,3.14144e+43
Neptune,4.41504e+08,3.87246e+12,2.2854e+12,0,-2769.52,4675.77,0,-1.97701e+35,3.14144e+43
Sun,5.04576e+08,2.09542e+09,7.31181e+09,0,9.96842,25.2907,0,-1.97701e+35,3.14144e+43
Mercury,5.04576e+08,-4.08876e+10,-2.81196e+10,0,30783.1,-38398.6,0,-1.97701e+35,3.14144e+43
Venus,5.04576e+08,1.06398e+11,3.59226e+10,0,-9260.51,33797.4,0,-1.97701e+35,3.14144e+43
Earth,5.04576e+08,1.50951e+11,-7.65293e+09,0,2988.67,29681.3,0,-1.97701e+35,3.14144e+43
Moon,5.04576e+08,1.50576e+11,-7.69164e+09,0,3075.96,28644,0,-1.97701e+35,3.14144e+43
Mars,5.04576e+08,-2.09497e+11,-7.21938e+10,0,8514.49,-22720.3,0,-1.97701e+35,3.14144e+43
Jupiter,5.04576e+08,-4.44757e+11,6.45362e+11,0,-10682.4,-7468.52,0,-1.97701e+35,3.14144e+43
Saturn,5.04576e+08,-1.39596e+12,-3.4374e+11,0,2344.68,-9270.27,0,-1.97701e+35,3.14144e+43
Uranus,5.04576e+08,1.04701e+12,2.66822e+12,0,-6353.13,2471.33,0,-1.97701e+35,3.14144e+43
Neptune,5.04576e+08,3.68666e+12,2.57338e+12,0,-3119.39,4451.53,0,-1.97701e+35,3.14144e+43
Sun,5.67648e+08,2.36124e+09,9.13522e+09,0,-2.38159,30.1903,0,-1.97701e+35,3.14144e+43
