name,t,x,y,z,vx,vy,vz,E,L
Neptune,2.52288e+08,4.02507e+12,1.31753e+12,0,-4033.29,4732.66,0,9.8809e+32,3.14565e+43
Sun,3.1536e+08,0,0,0,0,-15.989,0,9.80796e+32,3.14719e+43
Mercury,3.1536e+08,2.05854e+10,1.93965e+10,0,-66729.5,70212.8,0,9.80796e+32,3.14719e+43
Venus,3.1536e+08,3.49784e+11,-3.84607e+12,0,1740.23,-8325.49,0,9.80796e+32,3.14719e+43
Earth,3.1536e+08,-4.84e+10,5.7153e+10,0,-45422.4,-38500.2,0,9.80796e+32,3.14719e+43
Moon,3.1536e+08,5.84466e+10,-4.16452e+10,0,33669,49769.2,0,9.80796e+32,3.14719e+43
Mars,3.1536e+08,-6.82023e+10,-3.71683e+12,0,1323.33,-8369.32,0,9.80796e+32,3.14719e+43
Jupiter,3.1536e+08,-2.33293e+12,-2.35992e+11,0,-9321.59,-5330.72,0,9.80796e+32,3.14719e+43
Saturn,3.1536e+08,6.97504e+11,1.40963e+11,0,-3720.75,18929.3,0,9.80796e+32,3.14719e+43
Uranus,3.1536e+08,7.90473e+11,1.50842e+12,0,-12452,922.018,0,9.80796e+32,3.14719e+43
Neptune,3.1536e+08,3.72906e+12,1.60201e+12,0,-5386.58,4220.57,0,9.80796e+32,3.14719e+43
Sun,3.78432e+08,0,0,0,0,-15.989,0,1.30262e+33,3.14987e+43
Mercury,3.78432e+08,1.37547e+11,5.50435e+11,0,2010.77,28037.2,0,1.30262e+33,3.14987e+43
Venus,3.78432e+08,4.57987e+11,-4.35398e+12,0,1691.73,-7832.84,0,1.30262e+33,3.14987e+43
Earth,3.78432e+08,-3.93537e+10,6.37239e+10,0,-50646,-31304.2,0,1.30262e+33,3.14987e+43
Moon,3.78432e+08,-2.40881e+10,-6.58183e+10,0,57777.4,-21151.4,0,1.30262e+33,3.14987e+43
Mars,3.78432e+08,1.5449e+10,-4.22617e+12,0,1327.11,-7836.67,0,1.30262e+33,3.14987e+43
Jupiter,3.78432e+08,-2.88013e+12,-5.65752e+11,0,-8122.45,-5152.64,0,1.30262e+33,3.14987e+43
Saturn,3.78432e+08,-2.3088e+11,6.76295e+11,0,-18184.2,-6259.39,0,1.30262e+33,3.14987e+43
Uranus,3.78432e+08,-2.67968e+10,1.47119e+12,0,-13228.5,-2360.98,0,1.30262e+33,3.14987e+43
Neptune,3.78432e+08,3.34076e+12,1.84642e+12,0,-6970.47,3443.56,0,1.30262e+33,3.14987e+43
Sun,4.41504e+08,0,0,0,0,-15.989,0,2.22808e+33,3.15189e+43
Mercury,4.41504e+08,2.07359e+11,2.02134e+12,0,820.396,21267.7,0,2.22808e+33,3.15189e+43
Venus,4.41504e+08,5.63291e+11,-4.83425e+12,0,1648.25,-7442.29,0,2.22808e+33,3.15189e+43
Earth,4.41504e+08,1.0309e+12,-4.6494e+11,0,15152.3,-2524.75,0,2.22808e+33,3.15189e+43
Moon,4.41504e+08,-7.00155e+10,-2.78908e+09,0,2380.93,-61506.6,0,2.22808e+33,3.15189e+43
Mars,4.41504e+08,9.90171e+10,-4.70569e+12,0,1321.78,-7415.82,0,2.22808e+33,3.15189e+43
Jupiter,4.41504e+08,-3.36579e+12,-8.83897e+11,0,-7324.85,-4969.7,0,2.22808e+33,3.15189e+43
Saturn,4.41504e+08,-6.36687e+11,-3.19132e+11,0,8570.35,-17300,0,2.22808e+33,3.15189e+43
Uranus,4.41504e+08,-8.34589e+11,1.20125e+12,0,-12015.2,-6118.88,0,2.22808e+33,3.15189e+43
Neptune,4.41504e+08,2.85019e+12,2.03431e+12,0,-8294.69,2634.42,0,2.22808e+33,3.15189e+43
Sun,5.04576e+08,0,0,0,0,-15.989,0,1.73606e+33,3.15247e+43
Mercury,5.04576e+08,2.54896e+11,3.31873e+12,0,710.111,20040,0,1.73606e+33,3.15247e+43
Venus,5.04576e+08,6.65998e+11,-5.29223e+12,0,1609.27,-7122.02,0,1.73606e+33,3.15247e+43
Earth,5.04576e+08,1.85806e+12,-5.72086e+11,0,11671.3,-1210.28,0,1.73606e+33,3.15247e+43
Moon,5.04576e+08,-2.80802e+10,6.41965e+10,0,-56365.9,-24710.5,0,1.73606e+33,3.15247e+43
Mars,5.04576e+08,1.82091e+11,-5.16122e+12,0,1311.98,-7071.43,0,1.73606e+33,3.15247e+43
Jupiter,5.04576e+08,-3.80865e+12,-1.19099e+12,0,-6745.96,-4803.29,0,1.73606e+33,3.15247e+43
Saturn,5.04576e+08,4.00149e+11,-5.91063e+11,0,15913.5,10813.2,0,1.73606e+33,3.15247e+43
Uranus,5.04576e+08,-1.51225e+12,7.35512e+11,0,-9405.87,-8354.56,0,1.73606e+33,3.15247e+43
Neptune,5.04576e+08,2.30896e+12,2.1873e+12,0,-8875.23,2156.17,0,1.73606e+33,3.15247e+43
Sun,5.67648e+08,0,0,0,0,-15.989,0,2.01519e+33,3.15376e+43
Mercury,5.67648e+08,2.98292e+11,4.5646e+12,0,671.123,19491.9,0,2.01519e+33,3.15376e+43
Venus,5.67648e+08,7.66373e+11,-5.7317e+12,0,1574.19,-6852.72,0,2.01519e+33,3.15376e+43
Earth,5.67648e+08,2.53973e+12,-6.31786e+11,0,10096.1,-772.254,0,2.01519e+33,3.15376e+43
Moon,5.67648e+08,4.64547e+10,5.24458e+10,0,-46063,40800.7,0,2.01519e+33,3.15376e+43
Mars,5.67648e+08,2.6447e+11,-5.59685e+12,0,1299.97,-6782.23,0,2.01519e+33,3.15376e+43
Jupiter,5.67648e+08,-4.21955e+12,-1.48818e+12,0,-6301.28,-4655.39,0,2.01519e+33,3.15376e+43
Saturn,5.67648e+08,5.28471e+11,4.76617e+11,0,-12904.7,14343.4,0,2.01519e+33,3.15376e+43
Uranus,5.67648e+08,-2.0275e+12,1.8302e+11,0,-7044.18,-9012.42,0,2.01519e+33,3.15376e+43
Neptune,5.67648e+08,1.73002e+12,2.30403e+12,0,-9483.91,1473.61,0,2.01519e+33,3.15376e+43
Sun,6.3072e+08,0,0,0,0,-15.989,0,2.2264e+33,3.15605e+43
